city,name,room_type,price,minimum_nights,num_reviews,house_rules,maximum_occupancy
Bethel,Endless elegance in city,Entire home/apt,333.0,7.0,4.0,No parties & No smoking & No pets,2
Valparaiso,Quiet and beautiful apartment near park,Entire home/apt,930.0,7.0,2.0,No children under 10,6
Baton Rouge,4 bed 3.5 bath in city,Entire home/apt,889.0,30.0,4.0,No pets,3
Bethel,The otheroom bar/event/filming space -read details,Entire home/apt,461.0,1.0,4.0,No parties & No smoking,3
Indianapolis,Studio apartment in city,Entire home/apt,1048.0,3.0,1.0,No smoking & No children under 10,2
Montgomery,Large apartment in upper east with doorman!,Private room,284.0,4.0,1.0,No children under 10,2
Savannah,Alpha-bet city entire floor large cool 2br -l.e.s,Entire home/apt,574.0,2.0,2.0,No visitors & No parties,4
Newark,Large two story loft in the heart of neighborhood,Entire home/apt,1127.0,3.0,4.0,No pets & No children under 10,5
Ketchikan,Comfortable studio in neighborhood,Entire home/apt,718.0,5.0,5.0,No smoking & No visitors,7
Aguadilla,Place for sleeping and exploring city,Private room,1114.0,1.0,2.0,No pets,1
Anchorage,Beautiful neighborhood apartment,Entire home/apt,288.0,2.0,3.0,No parties,3
Pasco,A penthouse in city,Entire home/apt,982.0,2.0,4.0,No pets & No visitors & No parties,7
Nome,Large 1 bedroom artist loft in the lower east side,Entire home/apt,895.0,5.0,5.0,No parties,7
Valdosta,Lower east side oasis  (private room),Private room,487.0,2.0,2.0,No smoking & No children under 10,2
Phoenix,Lower east side oasis  (private room),Private room,487.0,2.0,2.0,No children under 10 & No visitors,2
Hyannis,(2)comfy home away from home/multiple rooms!!!,Private room,247.0,1.0,3.0,No parties,2
Colorado Springs,Huge cheerful private studio suite with backyard,Entire home/apt,114.0,2.0,3.0,No children under 10,2
Devils Lake,Newly renovated cozy studio on park avenue #6130,Entire home/apt,825.0,30.0,2.0,No visitors & No parties,5
Aberdeen,"1br in newly renovated apartment - rm a, neighborhood!",Private room,548.0,1.0,5.0,No smoking & No children under 10,2
Jacksonville,Modern high-end studio!,Entire home/apt,541.0,2.0,3.0,No parties,3
Santa Fe,Cute bedroom with private entrance from hallway,Private room,427.0,20.0,4.0,No children under 10 & No parties & No visitors,1
Valdosta,Awesome charming room c with roof deck access :),Private room,553.0,30.0,5.0,No visitors & No pets & No parties,1
Marquette,Neighborhood high ceiling loft,Entire home/apt,395.0,3.0,5.0,No pets & No visitors,2
Minot,Sun room in city,Private room,698.0,3.0,3.0,No children under 10 & No parties,1
Greensboro,Private bedroom and bath in spacious duplex,Private room,930.0,4.0,4.0,No parties,1
Harrisburg,Ridgewood/neighborhood ~ bungalow,Entire home/apt,943.0,4.0,3.0,No visitors & No parties & No smoking,7
White Plains,Quiet neighborhood studio next to snug coffee shop,Entire home/apt,708.0,10.0,3.0,No visitors & No children under 10 & No smoking,6
Bend,Awesome clean & cozy space in sunset park!,Private room,297.0,2.0,3.0,No pets & No parties & No visitors,2
Moline,Sun art + plant brownstone apartment,Entire home/apt,473.0,2.0,1.0,No visitors,4
Pellston,Large room with pull-out sofa and balco,Private room,443.0,1.0,3.0,No parties & No pets & No children under 10,1
Binghamton,"Huge, one of a kind, artsy loft in neighborhood",Entire home/apt,453.0,2.0,1.0,No visitors & No pets,2
Lubbock,Gorgeous spacious room in clinton hill,Private room,55.0,2.0,4.0,No visitors & No parties,1
Lihue,Luxury 4 bd city downtown apartment,Entire home/apt,694.0,1.0,2.0,No children under 10,6
Great Falls,Unique penthouse,Entire home/apt,713.0,1.0,3.0,No smoking & No pets & No children under 10,4
Idaho Falls,Private suite,Private room,635.0,5.0,3.0,No pets,2
Dodge City,Cozy 1 bedroom on the upper west side,Private room,1054.0,2.0,3.0,No smoking & No visitors,1
Florence,Beautiful private room in bedstuy,Private room,879.0,4.0,4.0,No pets & No children under 10 & No visitors,1
San Diego,Spacious room in large 2 bedroom prewar apartment,Private room,585.0,1.0,4.0,No parties & No visitors,2
Eugene,Large city apartment!,Private room,185.0,3.0,5.0,No parties,2
Detroit,Romantic top floor brownstone in crown heights,Entire home/apt,1077.0,1.0,4.0,No pets & No smoking,6
Eagle,Clean private room in neighborhood,Private room,454.0,5.0,3.0,No children under 10 & No visitors,2
Montrose,Cozy room in brownstone,Private room,1029.0,3.0,3.0,No visitors,1
College Station,Cozy home in friendly & hip neighborhood near subway,Entire home/apt,374.0,2.0,4.0,No parties,3
Branson,Fab 1bd sunside gardens apt with patio,Entire home/apt,910.0,2.0,4.0,No visitors & No smoking & No pets,3
Santa Rosa,Cozy room in heart of neighborhood,Private room,240.0,1.0,3.0,No visitors & No pets,2
Greer,Master bedroom. 20 min. train to time square!,Private room,1198.0,1.0,2.0,No children under 10 & No parties,2
Rock Springs,Study in 1885 gothic brownstone.,Private room,261.0,10.0,2.0,No children under 10,2
Pensacola,Luxury neighborhood penthouse with private deck,Entire home/apt,697.0,2.0,3.0,No visitors,6
Raleigh,City style one bed,Entire home/apt,890.0,31.0,4.0,No children under 10,4
Sacramento,Free cleaning & wifi-near train + bars & nightlife,Private room,237.0,30.0,5.0,No parties,2
Alamosa,Spacious room with private a patio!,Private room,605.0,2.0,1.0,No parties,2
Adak Island,Perfect neighborhood loft,Private room,1160.0,6.0,2.0,No children under 10 & No pets,2
Stockton,Luxurious neighborhood loft with private patio,Entire home/apt,950.0,5.0,5.0,No pets & No visitors & No children under 10,2
Sun Valley,Upper west side quiet and private studio,Entire home/apt,642.0,7.0,4.0,No pets,3
Providence,Shared space w/privacy near  botanic garden,Shared room,154.0,2.0,5.0,No visitors & No pets & No children under 10,1
White Plains,Spacious studio - neighborhood east,Entire home/apt,467.0,2.0,1.0,No visitors & No pets,4
Newport News,Empire state building apartment,Entire home/apt,662.0,7.0,5.0,No children under 10,2
Lihue,Cozy room #2 in city home 15 min from airport,Private room,273.0,1.0,5.0,No children under 10 & No visitors & No pets,2
Palm Springs,Awesome spot in neighborhood,Private room,944.0,2.0,2.0,No smoking & No children under 10,2
Manchester,One room neighborhood,Private room,705.0,1.0,1.0,No smoking,2
Casper,Huge room in east neighborhood,Private room,85.0,1.0,3.0,No parties,1
Gulfport,Beautiful 3 bedroom apartment in east neighborhood,Entire home/apt,814.0,2.0,3.0,No pets & No children under 10,5
Iron Mountain,Neighborhood hideaway,Entire home/apt,785.0,1.0,2.0,No pets & No visitors & No smoking,3
Salisbury,1bd safe & affordable  with tv  fully renovated,Private room,738.0,2.0,5.0,No visitors & No parties,2
Waterloo,Gorgeous 1 bedroom in bed-stuy,Entire home/apt,566.0,3.0,2.0,No visitors,2
Birmingham,Electric city + luxury room = best vacation ever!,Private room,182.0,3.0,4.0,No pets & No smoking,2
Iron Mountain,Large comfortable room near penn station,Private room,189.0,1.0,4.0,No visitors & No children under 10,2
Fort Myers,Great room in neighborhood!,Private room,133.0,1.0,4.0,No visitors,1
Champaign,Bronx apartment college ave,Private room,1120.0,1.0,5.0,No smoking,2
Wichita,Verona twentyone - kendal garden,Entire home/apt,350.0,2.0,2.0,No pets & No children under 10,3
Birmingham,1 bdrm 1.5 bath neighborhood condo,Entire home/apt,195.0,20.0,3.0,No parties,3
Gainesville,"""oasis on the park""",Private room,1068.0,1.0,3.0,No smoking & No parties & No visitors,1
Kodiak,Sonder | 11th ave | modern 1br + gym,Entire home/apt,359.0,29.0,4.0,No visitors & No parties,3
Mobile,"Cozy, city beauty. great for a nice holiday!",Entire home/apt,609.0,2.0,3.0,No visitors,3
Charlotte,Lower east side 1bedroom apt in city,Entire home/apt,861.0,3.0,3.0,No parties & No children under 10,6
Escanaba,Soaring space in laid-back city,Private room,568.0,1.0,3.0,No pets,1
Laramie,Noho 1br 1ba,Entire home/apt,642.0,4.0,2.0,No visitors & No pets,5
Hartford,"Own living room, bathroom & w/d in the ev!",Private room,534.0,14.0,3.0,No children under 10 & No visitors,1
Charlotte,Luxury 2 bdr/2 bath prime williamburg,Entire home/apt,218.0,1.0,5.0,No children under 10 & No smoking & No pets,3
Dillingham,"Peaceful home, industrial neighborhood",Private room,1151.0,2.0,5.0,No pets & No smoking,2
San Jose,The heart of neighborhood,Private room,938.0,3.0,4.0,No pets & No parties & No smoking,2
Fort Myers,"Basement suite in neighborhood, 4 minutes from the m!",Private room,193.0,3.0,3.0,No children under 10 & No parties,2
Iron Mountain,E neighborhood apartment with yard,Private room,459.0,2.0,5.0,No visitors & No parties,2
Madison,Oversized bedroom with living space,Private room,908.0,20.0,3.0,No visitors,1
Huntsville,Cozy 1 br in hip crown heights,Private room,926.0,4.0,4.0,No pets & No visitors,1
Santa Fe,Clinton hill apartment single bedroom ! pratt ~~,Private room,826.0,2.0,1.0,No parties & No children under 10,2
Greer,Studio apartment full bath 15 minutes from airport,Entire home/apt,865.0,2.0,4.0,No children under 10 & No visitors,8
Rochester,Artsy neighborhood  2 beds with laundry & balco,Entire home/apt,1128.0,2.0,5.0,No pets,8
Traverse City,Home sweet home in neighborhood,Entire home/apt,654.0,3.0,5.0,No children under 10,3
Gillette,Quiet city apartment,Private room,1162.0,1.0,2.0,No pets,2
Jackson,"Great spacious 2br duplex apt in s. neighborhood, city",Private room,263.0,2.0,5.0,No smoking & No pets,1
Meridian,Modern neighborhood studio,Shared room,472.0,4.0,5.0,No pets & No children under 10 & No visitors,1
Lewisburg,"Clean, cozy, and spacious city row house",Private room,107.0,2.0,4.0,No visitors,1
Cordova,Room in neighborhood w/ private balco and bathroom,Private room,470.0,1.0,4.0,No smoking,2
International Falls,Clean and comfortable room at park north,Private room,628.0,3.0,3.0,No smoking,1
Fresno,***welcome to mi casa tu casa near airport/airport airport,Private room,178.0,2.0,5.0,No children under 10 & No parties & No visitors,1
Myrtle Beach,Studio with private terrace on park west,Entire home/apt,453.0,30.0,2.0,No smoking & No visitors,4
Hancock,1 bedroom available in a four bedroom house,Private room,1037.0,1.0,3.0,No pets,2
Lansing,"Sun, quiet, green studio near park & met",Entire home/apt,486.0,6.0,4.0,No smoking & No children under 10 & No pets,3
Owensboro,Bedstuy/neighborhood - fully renovated one bedroom,Entire home/apt,404.0,4.0,1.0,No parties & No smoking,4
Champaign,"Best location in neighborhood, close to subway",Entire home/apt,646.0,2.0,5.0,No children under 10,6
Hibbing,"Spacious, bright neighborhood treetop duplex",Entire home/apt,1007.0,3.0,3.0,No children under 10 & No visitors,10
Decatur,1 br in great city neighborhood,Entire home/apt,582.0,2.0,4.0,No smoking,4
Newburgh,Clean neighborhood rooms in heart of city,Private room,1179.0,3.0,1.0,No smoking & No pets,1
Toledo,Tiger’s rest,Entire home/apt,375.0,2.0,5.0,No pets & No children under 10,2
Salina,Cozy bedroom in charming astoria,Private room,1132.0,2.0,5.0,No parties & No pets & No smoking,1
Lansing,Private room in neighborhood close to subway,Private room,461.0,9.0,2.0,No children under 10,1
Bemidji,Private bedroom b in neighborhood minutes from subways,Private room,531.0,2.0,5.0,No smoking,1
Baton Rouge,Spacious 1 bedroom in historic brownstone,Entire home/apt,670.0,7.0,3.0,No smoking,2
Pensacola,"Amazing apartment near museum, gardens & park!",Entire home/apt,74.0,17.0,5.0,No parties,3
Tulsa,Oversized studio in east 37 th~murray hill,Entire home/apt,418.0,30.0,4.0,No pets,2
Phoenix,"Bedstuy bk - pad
short/ long term stays
no events",Entire home/apt,1188.0,1.0,2.0,No smoking,10
Owensboro,A small room with futon bed in a house in city,Private room,562.0,1.0,5.0,No smoking & No children under 10 & No pets,2
Jacksonville,"City sanctuary, skyline views & rooftop",Entire home/apt,954.0,3.0,5.0,No smoking,6
North Platte,"Comfortable, eclectic and private apartment",Entire home/apt,557.0,2.0,5.0,No smoking & No pets & No parties,2
Gainesville,Suite nest /free street parking+wifi,Entire home/apt,1171.0,30.0,2.0,No smoking & No parties,8
Hilton Head,Neighborhood home away from home!,Entire home/apt,164.0,4.0,3.0,No pets,3
Durango,"Beautiful 2 bed apartment in neighborhood, broolyn",Entire home/apt,1022.0,7.0,3.0,No children under 10 & No parties,7
Dodge City,Charming bedroom in e. neighborhood by graham l,Private room,1107.0,28.0,5.0,No pets,1
Eagle,"City charm, close to city (30+ days only)",Entire home/apt,284.0,200.0,2.0,No pets,3
Cedar City,Perfect room for female/steps to ctral park+subway,Private room,214.0,28.0,5.0,No smoking & No pets & No parties,2
Santa Rosa,Bedroom in neighborhood,Private room,240.0,7.0,4.0,No parties,1
Seattle,Large quiet private studio in east neighborhood,Entire home/apt,181.0,7.0,3.0,No children under 10,2
Nome,"Renovated pre-war flat, terrace, & garden",Entire home/apt,299.0,2.0,4.0,No children under 10,2
Valdosta,Neighborhood walk-up.,Entire home/apt,987.0,5.0,4.0,No children under 10 & No visitors,3
Wenatchee,Entire 1bd apt in long island city!,Entire home/apt,268.0,1.0,1.0,No children under 10,3
New Orleans,Conveniently located private room in city,Private room,172.0,1.0,1.0,No visitors,1
Traverse City,Upper westside apt with huge private terrace.,Entire home/apt,788.0,5.0,2.0,No smoking & No parties & No pets,5
Alpena,Cheerful rm in city! easy access to train! r3,Private room,927.0,15.0,5.0,No pets,2
Rock Springs,New unit w/ private gym in neighborhood (10% off!),Private room,185.0,1.0,3.0,No pets & No visitors,2
Hartford,Private natural light oasis with super host!!,Private room,323.0,1.0,5.0,No parties,2
Lewiston,1200 sqft open loft neighborhood,Entire home/apt,55.0,31.0,2.0,No pets,3
Seattle,Nolita 1br near little italy/soho,Entire home/apt,380.0,20.0,1.0,No visitors & No pets,2
Bend,Descanza con plenitud,Private room,325.0,2.0,4.0,No children under 10,1
Monroe,Cozy 1 bedroom in heart of neighborhood,Private room,761.0,1.0,4.0,No children under 10 & No smoking,2
Las Vegas,Two real bedrooms near park,Entire home/apt,731.0,1.0,3.0,No smoking & No parties & No pets,5
Bristol,Sublet in the uws,Entire home/apt,880.0,1.0,4.0,No parties & No pets,3
Seattle,Private spacious les bedroom,Private room,325.0,2.0,4.0,No parties & No pets,1
Muskegon,Comfortable room w/ 1 full bed (1fl),Private room,682.0,3.0,5.0,No smoking,2
Lewiston,Cozy room around union square,Private room,618.0,2.0,4.0,No children under 10 & No parties & No pets,1
Christiansted,Elegant 2 bedroom with light & amenities!,Private room,781.0,2.0,1.0,No visitors,2
Shreveport,Quiet & clean retreat in the city,Entire home/apt,111.0,3.0,3.0,No children under 10 & No smoking,2
South Bend,Just right in lovely neighborhood,Private room,614.0,7.0,5.0,No smoking & No visitors,1
Wrangell,Modern sunlit room w/ balco on famous street!,Private room,979.0,4.0,4.0,No smoking,2
Knoxville,Light-filled room in renovated apt,Private room,310.0,2.0,2.0,No pets,2
Salt Lake City,Cozy apartment in noho/ soho,Private room,872.0,1.0,4.0,No visitors & No parties,2
Fargo,Luxurious studio high rise condo near city!,Entire home/apt,731.0,3.0,5.0,No pets & No parties,7
San Luis Obispo,Upper west side 1 bedroom,Entire home/apt,859.0,1.0,3.0,No smoking,5
Augusta,Perfect chanukah apartment for the whole crew!,Entire home/apt,451.0,11.0,3.0,No pets,3
Sitka,Large 2 bdrm in prime uws location,Entire home/apt,520.0,30.0,2.0,No parties,5
Twin Falls,Uptown city bright and lovely room,Shared room,672.0,6.0,5.0,No smoking & No parties,1
Portsmouth,Lovely apartment 1bd clean & quiet. you'll love it,Entire home/apt,496.0,30.0,1.0,No children under 10 & No visitors & No parties,4
Yuma,Carriage house apartment,Entire home/apt,468.0,1.0,5.0,No visitors & No parties,4
Abilene,Apartment minutes from city,Entire home/apt,295.0,2.0,2.0,No pets & No visitors,2
Nashville,Clean and large bedroom in a private house,Private room,474.0,1.0,4.0,No smoking,1
Brownsville,Safe and sound studio in the big apple,Entire home/apt,128.0,7.0,2.0,No parties,3
Honolulu,"Park, subway & all conveniences",Entire home/apt,754.0,2.0,2.0,No pets & No visitors,4
Aberdeen,Private bedroom & bathroom in neighborhood city,Private room,53.0,2.0,4.0,No smoking,2
Alamosa,Charming room in neighborhood,Private room,595.0,4.0,2.0,No parties,1
Wilmington,Private bedroom in neighborhood!,Private room,400.0,5.0,5.0,No pets,2
Santa Maria,Big bright room ☼ lower east side,Private room,474.0,25.0,5.0,No children under 10 & No pets & No parties,1
Newark,Gramercy one bedroom w two beds,Entire home/apt,485.0,7.0,2.0,No visitors & No children under 10,4
Abilene,Private 1br with private bathroom feet from subway,Entire home/apt,668.0,1.0,4.0,No children under 10 & No visitors & No smoking,2
Nantucket,Gorgeous apartment in a historic brownstone,Entire home/apt,581.0,3.0,2.0,No children under 10 & No parties & No visitors,2
San Luis Obispo,Beautiful and comfortable upper east side location,Entire home/apt,1012.0,3.0,5.0,No pets & No smoking,6
Tyler,Clean loft bed 17min from city,Private room,653.0,2.0,2.0,No children under 10,1
Butte,Elegance on west side,Entire home/apt,1056.0,2.0,4.0,No parties & No smoking & No children under 10,10
Cleveland,Cozy minimalist room close to train (1),Private room,593.0,3.0,3.0,No parties,2
St. Petersburg,Private  room in city city. train a min away!,Private room,135.0,1.0,2.0,No parties,2
Everett,Cozy apartment across astoria park,Entire home/apt,880.0,1.0,5.0,No children under 10 & No pets & No visitors,4
College Station,Wyndham neighborhood 45 (1 bedroom presidential) 1a,Entire home/apt,103.0,3.0,5.0,No pets & No parties,3
Ponce,Kid friendly 2bdr in neighborhood w/ balco,Entire home/apt,580.0,4.0,1.0,No pets & No visitors,2
Wichita Falls,Modern apartment on the ues,Private room,702.0,1.0,2.0,No children under 10 & No smoking & No parties,2
Cleveland,Richmond hill 3 bedroom apartment in private home!,Entire home/apt,565.0,1.0,5.0,No visitors,4
Lafayette,2-bedroom south neighborhood apartment,Entire home/apt,745.0,4.0,5.0,No pets & No children under 10,6
Yakima,"A+ neighborhood location! msg, javits, penn!",Entire home/apt,833.0,31.0,5.0,No children under 10 & No smoking & No pets,4
Saipan,Neighborhood amazing living 2 baths,Entire home/apt,641.0,1.0,2.0,No smoking,5
Detroit,"Beautiful private room near highline, and train",Private room,1044.0,30.0,2.0,No parties & No pets,2
Hyannis,Modern loft in the best part of neighborhood.,Entire home/apt,1020.0,2.0,3.0,No smoking,2
Burbank,City 1 bedroom,Entire home/apt,583.0,3.0,5.0,No visitors & No pets,4
Savannah,Large  secured condominium studio,Entire home/apt,976.0,1.0,4.0,No smoking & No children under 10,5
Twin Falls,2 bed private entrance neighborhood,Entire home/apt,289.0,1.0,1.0,No smoking & No parties,3
Lansing,"Prospect park, lefferts garden townhouse",Entire home/apt,1158.0,3.0,5.0,No smoking,11
International Falls,Light filled studio,Private room,713.0,3.0,2.0,No visitors,2
Beaumont,Charming 1bd- 10 min to city & park,Entire home/apt,1155.0,1.0,3.0,No children under 10,2
Everett,Park slope -sun 3br duplex,Entire home/apt,216.0,3.0,4.0,No children under 10,3
Bakersfield,A home away from home in city! uptown,Shared room,789.0,1.0,1.0,No pets & No visitors,1
Aspen,Joy,Private room,444.0,15.0,3.0,No smoking,1
North Platte,Apartment in heart of neighborhood,Entire home/apt,603.0,29.0,2.0,No smoking,3
Bangor,Spacious 1 br by park!,Entire home/apt,708.0,3.0,4.0,No visitors,3
Chicago,Beautiful 1 br by prospect park,Entire home/apt,328.0,5.0,1.0,No parties & No visitors & No children under 10,3
Gustavus,Large private room in 3 bdr apt-neighborhood,Private room,684.0,1.0,5.0,No smoking & No parties,2
Escanaba,California vibes in city,Entire home/apt,206.0,3.0,3.0,No parties,2
Fresno,Brand new renovated retreat 5 min from airport!,Private room,751.0,1.0,4.0,No visitors,1
Riverton,Gorgeous studio apt upper east side,Entire home/apt,1035.0,5.0,2.0,No visitors & No pets & No smoking,4
Yakutat,An accomodating apartment on wall,Shared room,578.0,1.0,4.0,No visitors & No parties,1
Omaha,"Sunlit room in prospect heights, city",Private room,673.0,7.0,4.0,No visitors & No children under 10,2
San Antonio,"Spacious, bright room, prime neighborhood location",Private room,900.0,3.0,4.0,No pets,2
Staunton,Huge room in center city! amazing location!,Private room,260.0,4.0,2.0,No children under 10,2
San Juan,Home away from home,Entire home/apt,323.0,2.0,3.0,No pets & No visitors,3
Grand Forks,Bright & beautiful,Private room,399.0,2.0,4.0,No visitors,1
Ponce,Sun bedroom in bedstuy,Private room,744.0,1.0,2.0,No smoking & No parties & No visitors,1
Escanaba,"Big bed, cosy room, groovy les apt!",Private room,487.0,2.0,2.0,No smoking & No visitors,2
Kalamazoo,Apartment in ridgewood/neighborhood neighborhood,Private room,152.0,2.0,5.0,No smoking,2
Kona,Stunning city brownstone,Entire home/apt,153.0,2.0,3.0,No pets,3
San Angelo,Bedroom in east neighborhood,Private room,1149.0,4.0,3.0,No smoking,1
Portsmouth,Cozy city oasis 20min to city(for 1 or 2),Private room,314.0,3.0,4.0,No pets,2
Fort Myers,Large one bed room pied a terre in park slope,Entire home/apt,903.0,30.0,4.0,No pets & No smoking,2
South Bend,Clean + simple neighborhood 2 bedroom (sleeps 7),Entire home/apt,341.0,30.0,5.0,No visitors & No pets & No smoking,3
Watertown,Zen holiday getaway,Entire home/apt,56.0,7.0,2.0,No visitors,3
Bakersfield,Bright & spacious room in neighborhood,Private room,815.0,1.0,2.0,No visitors & No children under 10,2
Binghamton,Private neighborhood apt,Entire home/apt,462.0,1.0,4.0,No smoking,2
Santa Ana,Super convenient park slope room,Private room,623.0,2.0,3.0,No pets,1
Ponce,Cozy room in downtownuare .,Private room,202.0,2.0,2.0,No pets & No visitors,2
Chicago,Amazing place close to all,Entire home/apt,308.0,3.0,3.0,No children under 10,3
Norfolk,Airports sleep inn,Private room,697.0,3.0,4.0,No visitors,2
Eagle,Ins style duplex apt bedroom w/ private bathroom,Private room,773.0,1.0,2.0,No children under 10 & No smoking,2
Ketchikan,Comfortable room in a chic and modern house,Private room,310.0,2.0,4.0,No smoking & No children under 10,2
Trenton,"Clean, cosy private 1 bd apartment neighborhood",Entire home/apt,592.0,6.0,5.0,No children under 10,4
Albuquerque,Luxury 1bd 1.5 bath in ues in city,Entire home/apt,185.0,2.0,1.0,No visitors & No smoking,2
Minneapolis,Convent ave & 127st col univ  rm 2,Private room,949.0,2.0,1.0,No children under 10,2
El Paso,Neighborhood studio,Entire home/apt,625.0,3.0,2.0,No smoking,3
South Bend,Clean and cozy neighborhood apartment,Entire home/apt,601.0,128.0,3.0,No smoking,4
Niagara Falls,Sun spacious south slope studio,Entire home/apt,337.0,2.0,4.0,No parties & No smoking,3
Newburgh,Charming 2 bedroom space in downtown city,Private room,841.0,15.0,2.0,No smoking,1
Lewisburg,Minimalist room with a spectacular view,Private room,674.0,2.0,4.0,No parties & No visitors & No pets,1
Panama City,Renovated one bedroom in our beautiful townhouse,Entire home/apt,620.0,3.0,2.0,No visitors,2
Fayetteville,"Private broom ,bathroom & backyard",Private room,56.0,4.0,1.0,No parties & No children under 10 & No pets,2
Houston,Superhost 3 bedroom discount,Entire home/apt,746.0,1.0,4.0,No pets,5
Brainerd,Skylight apartment neighborhood,Entire home/apt,219.0,4.0,3.0,No pets,2
Rapid City,"Big, bright, beautiful private apartment",Entire home/apt,783.0,2.0,2.0,No pets & No parties,6
Kalamazoo,"Angie suite  in the heights
se habla español",Private room,217.0,3.0,3.0,No pets,2
Miami,Charming 1bd astoria penthouse,Entire home/apt,806.0,2.0,5.0,No smoking,8
Omaha,Big bright alcove studio in upper east side,Entire home/apt,1033.0,4.0,2.0,No visitors & No children under 10,6
San Diego,Big room near prospect park! !,Private room,752.0,7.0,2.0,No parties & No smoking & No pets,1
Nantucket,Historic serene neighborhood brownstone 2.5 bed,Entire home/apt,338.0,30.0,5.0,No children under 10 & No pets & No parties,2
Christiansted,Upper west side quiet gem,Entire home/apt,271.0,1.0,2.0,No parties & No pets,3
Ponce,B1. shared room for 4 guests,Shared room,1167.0,2.0,4.0,No visitors & No smoking,1
Lansing,Lux studio suite+ kitchen+gym+rooftop @fidi!,Entire home/apt,446.0,3.0,4.0,No parties,3
Baltimore,1 bedroom apartment on west 34th street,Entire home/apt,107.0,30.0,5.0,No visitors,2
Belleville,Private room in city!! walking to park!!,Private room,1017.0,3.0,2.0,No parties & No smoking,1
Asheville,Fully equipped apartment on perfect location,Entire home/apt,1091.0,7.0,5.0,No visitors,7
West Palm Beach,Neighborhood brownstone penthouse,Entire home/apt,528.0,3.0,2.0,No parties,2
Daytona Beach,Luxury studio near park - downtownuare,Entire home/apt,155.0,29.0,2.0,No children under 10,2
Shreveport,Private hotel room in the heart of downtownuare,Private room,539.0,1.0,3.0,No visitors & No children under 10 & No pets,2
Fort Smith,(a) room for 2 w private bathroom,Private room,1057.0,2.0,2.0,No pets & No children under 10 & No visitors,1
Brainerd,"Homey, accessible private bedroom",Private room,480.0,1.0,1.0,No visitors & No parties,2
Salina,"Heart of city, queen bed, 1 block from subway!",Private room,331.0,1.0,5.0,No children under 10,1
Hilton Head,Cozy room @neighborhood (10 mins to city),Private room,605.0,2.0,4.0,No visitors,1
Montgomery,Cozy small bedroom w/bathroom. balco & open bar.,Private room,901.0,14.0,5.0,No pets,2
San Francisco,"Cozy, spacious studio located on upper east side",Entire home/apt,756.0,3.0,3.0,No visitors,2
Hattiesburg,Joy's luxury apartment with free parking space,Entire home/apt,651.0,1.0,3.0,No children under 10 & No pets,2
Stockton,Neighborhood oasis,Entire home/apt,170.0,365.0,3.0,No children under 10,3
Branson,Comfortable & independent apartment in queens ,Entire home/apt,803.0,1.0,5.0,No children under 10 & No parties,8
Pago Pago,Artist's townhouse,Entire home/apt,1094.0,4.0,3.0,No smoking & No pets,7
Rhinelander,Cozy pad in east neighborhood,Private room,629.0,1.0,2.0,No parties,2
Montgomery,Sun townhouse - city,Entire home/apt,180.0,6.0,3.0,No children under 10 & No parties,2
Lynchburg,Private room in neighborhood,Private room,70.0,1.0,4.0,No pets & No children under 10,2
Omaha,City private room w/backyard,Private room,1086.0,2.0,3.0,No visitors,2
Harrisburg,3 cozy zen rooms in beautiful apt.,Private room,349.0,2.0,5.0,No children under 10 & No visitors,2
Lafayette,Luxurious designer brownstone with backyard,Entire home/apt,1091.0,4.0,5.0,No children under 10 & No parties,5
Pittsburgh,Sun 1 br city loft apartment,Entire home/apt,60.0,4.0,1.0,No visitors,2
St. Petersburg,Beautiful apartment in gravesend(girls share room),Shared room,230.0,7.0,4.0,No pets,1
Garden City,Cute private bedroom in stuyvesant height.,Private room,533.0,1.0,2.0,No parties & No visitors,1
Stockton,Private apt 2br/1bath/kitchen/parking in our home,Entire home/apt,420.0,1.0,2.0,No pets,4
Kodiak,Large private room in spacious guest house,Private room,514.0,3.0,2.0,No visitors & No pets & No parties,2
Escanaba,The spot,Entire home/apt,594.0,1.0,3.0,No smoking,2
Flagstaff,Large bedroom in 2 bed apartment brighton beach,Private room,959.0,1.0,3.0,No children under 10,2
Fort Dodge,"Furnished room close to most, 15min to grand cent.",Private room,524.0,20.0,3.0,No smoking & No visitors,2
Des Moines,Big city room w gorgeous views.,Private room,1189.0,1.0,1.0,No parties,2
Worcester,Clarkson loft the gem of east flatbush,Private room,965.0,1.0,5.0,No smoking & No children under 10,1
Redding,Best location sun filled neighborhood townhome,Entire home/apt,268.0,1.0,4.0,No pets,2
Lihue,Private room with 1/2 bath in les!,Private room,828.0,1.0,1.0,No visitors & No pets & No children under 10,1
New Bern,Beautiful studio apt. yoga vibes & love,Entire home/apt,479.0,2.0,2.0,No smoking & No visitors & No children under 10,4
Kalispell,Close to city ( s ).,Private room,743.0,1.0,4.0,No children under 10,1
Fairbanks,"Soho penthouse loft, terrace & view",Entire home/apt,842.0,3.0,5.0,No pets,8
Toledo,Newly reno 1br neighborhood brownstone,Entire home/apt,354.0,5.0,3.0,No children under 10,2
Medford,Modern 1-bed near park,Entire home/apt,694.0,30.0,2.0,No pets,2
Des Moines,Cozy bed stuy getaway,Entire home/apt,871.0,2.0,5.0,No children under 10,6
Dodge City,New studio in uws steps from park #6122,Entire home/apt,973.0,30.0,5.0,No children under 10 & No visitors & No smoking,8
