flight_number,price,departure_time,arrival_time,actual_elapsed_time,flight_date,departure_city,arrival_city,distance
F3612477,466,13:34,18:44,3 hours 10 minutes,2022-03-31,Las Vegas,St. Louis,1371.0
F3612533,330,20:20,21:52,3 hours 32 minutes,2022-03-29,St. Louis,Las Vegas,1371.0
F3612534,633,19:38,20:57,3 hours 19 minutes,2022-03-30,St. Louis,Las Vegas,1371.0
F3612535,555,19:40,20:55,3 hours 15 minutes,2022-03-31,St. Louis,Las Vegas,1371.0
F3613761,234,13:43,14:35,1 hours 52 minutes,2022-03-12,Denver,Las Vegas,628.0
F3613762,129,13:37,14:32,1 hours 55 minutes,2022-03-13,Denver,Las Vegas,628.0
F3613763,310,13:43,14:27,1 hours 44 minutes,2022-03-14,Denver,Las Vegas,628.0
F3614252,138,20:40,21:25,1 hours 45 minutes,2022-03-14,Denver,Las Vegas,628.0
F3614273,179,16:53,19:37,1 hours 44 minutes,2022-03-14,Las Vegas,Denver,628.0
F3615392,477,07:58,10:09,3 hours 11 minutes,2022-03-09,Fort Lauderdale,Milwaukee,1243.0
F3615421,543,17:44,21:52,3 hours 8 minutes,2022-03-10,Milwaukee,Fort Lauderdale,1243.0
F3619758,466,08:17,12:48,4 hours 31 minutes,2022-03-28,Boston,San Juan,1674.0
F3619759,518,08:24,12:16,3 hours 52 minutes,2022-03-29,Boston,San Juan,1674.0
F3619760,661,08:12,11:56,3 hours 44 minutes,2022-03-30,Boston,San Juan,1674.0
F3619789,441,12:00,16:00,4 hours 0 minutes,2022-03-28,San Juan,Boston,1674.0
F3619790,653,13:19,17:13,3 hours 54 minutes,2022-03-29,San Juan,Boston,1674.0
F3619791,744,12:02,16:27,4 hours 25 minutes,2022-03-30,San Juan,Boston,1674.0
F3620299,261,16:08,18:45,2 hours 37 minutes,2022-03-28,Tampa,Akron,894.0
F3620300,438,17:00,19:18,2 hours 18 minutes,2022-03-30,Tampa,Akron,894.0
F3620346,434,19:40,21:47,2 hours 7 minutes,2022-03-28,Akron,Tampa,894.0
F3620347,372,20:05,22:16,2 hours 11 minutes,2022-03-30,Akron,Tampa,894.0
F3626549,198,11:35,14:45,2 hours 10 minutes,2022-03-24,Chicago,Atlanta,606.0
F3626550,285,11:34,14:22,1 hours 48 minutes,2022-03-25,Chicago,Atlanta,606.0
F3626551,199,11:33,14:39,2 hours 6 minutes,2022-03-26,Chicago,Atlanta,606.0
F3627307,784,01:05,03:01,4 hours 56 minutes,2022-03-18,Detroit,Los Angeles,1979.0
F3627308,429,16:21,18:14,4 hours 53 minutes,2022-03-19,Detroit,Los Angeles,1979.0
F3627309,526,23:08,01:10,5 hours 2 minutes,2022-03-20,Detroit,Los Angeles,1979.0
F3627396,708,17:11,00:22,4 hours 11 minutes,2022-03-18,Los Angeles,Detroit,1979.0
F3627397,427,07:03,14:23,4 hours 20 minutes,2022-03-19,Los Angeles,Detroit,1979.0
F3627398,968,14:28,21:36,4 hours 8 minutes,2022-03-20,Los Angeles,Detroit,1979.0
F3627911,250,15:40,16:55,2 hours 15 minutes,2022-03-24,Atlanta,Chicago,606.0
F3627912,277,15:11,16:21,2 hours 10 minutes,2022-03-25,Atlanta,Chicago,606.0
F3627913,267,15:40,16:45,2 hours 5 minutes,2022-03-26,Atlanta,Chicago,606.0
F3629168,156,09:35,12:26,1 hours 51 minutes,2022-03-12,Las Vegas,Denver,628.0
F3629169,179,09:52,12:39,1 hours 47 minutes,2022-03-13,Las Vegas,Denver,628.0
F3629170,262,09:56,12:44,1 hours 48 minutes,2022-03-14,Las Vegas,Denver,628.0
F3629792,779,19:44,21:26,4 hours 42 minutes,2022-03-18,Detroit,Los Angeles,1979.0
F3629793,807,06:51,08:42,4 hours 51 minutes,2022-03-19,Detroit,Los Angeles,1979.0
F3629794,851,19:19,20:59,4 hours 40 minutes,2022-03-20,Detroit,Los Angeles,1979.0
F3629846,460,18:13,01:24,4 hours 11 minutes,2022-03-18,Los Angeles,Detroit,1979.0
F3629847,401,18:05,01:17,4 hours 12 minutes,2022-03-19,Los Angeles,Detroit,1979.0
F3629848,445,18:14,01:25,4 hours 11 minutes,2022-03-20,Los Angeles,Detroit,1979.0
F3631864,155,15:29,17:31,2 hours 2 minutes,2022-03-21,Washington,Bangor,590.0
F3631865,264,15:07,17:10,2 hours 3 minutes,2022-03-22,Washington,Bangor,590.0
F3631866,150,15:28,17:11,1 hours 43 minutes,2022-03-23,Washington,Bangor,590.0
F3632764,271,12:50,14:37,1 hours 47 minutes,2022-03-21,Bangor,Washington,590.0
F3632765,134,12:45,14:40,1 hours 55 minutes,2022-03-22,Bangor,Washington,590.0
F3632766,263,12:59,14:45,1 hours 46 minutes,2022-03-23,Bangor,Washington,590.0
F3632795,230,10:27,12:21,1 hours 54 minutes,2022-03-21,Washington,Bangor,590.0
F3632796,274,10:05,12:06,2 hours 1 minutes,2022-03-22,Washington,Bangor,590.0
F3632797,239,10:55,12:32,1 hours 37 minutes,2022-03-23,Washington,Bangor,590.0
F3632955,199,11:57,14:28,2 hours 31 minutes,2022-03-03,Sarasota,Philadelphia,957.0
F3632956,395,11:56,14:39,2 hours 43 minutes,2022-03-04,Sarasota,Philadelphia,957.0
F3633007,334,08:41,11:25,2 hours 44 minutes,2022-03-03,Philadelphia,Sarasota,957.0
F3633008,246,08:06,10:51,2 hours 45 minutes,2022-03-04,Philadelphia,Sarasota,957.0
F3634578,309,19:40,21:28,1 hours 48 minutes,2022-03-03,Jacksonville,Washington,634.0
F3634579,229,19:42,21:46,2 hours 4 minutes,2022-03-04,Jacksonville,Washington,634.0
F3635008,133,16:58,18:44,1 hours 46 minutes,2022-03-03,Jacksonville,Washington,634.0
F3635010,149,17:59,19:51,1 hours 52 minutes,2022-03-05,Jacksonville,Washington,634.0
F3635615,225,14:57,16:35,1 hours 38 minutes,2022-03-26,Greensboro,New York,461.0
F3635915,153,11:04,12:48,1 hours 44 minutes,2022-03-19,Charleston,New York,636.0
F3635916,175,11:22,13:00,1 hours 38 minutes,2022-03-20,Charleston,New York,636.0
F3635917,143,11:01,12:58,1 hours 57 minutes,2022-03-21,Charleston,New York,636.0
F3635945,159,07:56,10:09,2 hours 13 minutes,2022-03-19,New York,Charleston,636.0
F3635946,308,07:57,10:31,2 hours 34 minutes,2022-03-20,New York,Charleston,636.0
F3635947,128,07:59,09:53,1 hours 54 minutes,2022-03-21,New York,Charleston,636.0
F3636274,118,15:28,17:24,1 hours 56 minutes,2022-03-06,Atlanta,South Bend,566.0
F3636275,198,15:34,17:12,1 hours 38 minutes,2022-03-07,Atlanta,South Bend,566.0
F3636293,270,18:02,19:56,1 hours 54 minutes,2022-03-06,South Bend,Atlanta,566.0
F3636294,192,18:04,20:05,2 hours 1 minutes,2022-03-07,South Bend,Atlanta,566.0
F3636932,82,17:42,19:02,1 hours 20 minutes,2022-03-13,New York,Pittsburgh,335.0
F3636933,151,16:58,18:31,1 hours 33 minutes,2022-03-14,New York,Pittsburgh,335.0
F3636934,119,17:01,18:40,1 hours 39 minutes,2022-03-15,New York,Pittsburgh,335.0
F3636935,104,16:51,18:26,1 hours 35 minutes,2022-03-16,New York,Pittsburgh,335.0
F3636937,161,17:22,18:53,1 hours 31 minutes,2022-03-18,New York,Pittsburgh,335.0
F3636959,70,21:10,23:16,2 hours 6 minutes,2022-03-13,Pittsburgh,New York,335.0
F3636960,116,19:40,21:14,1 hours 34 minutes,2022-03-14,Pittsburgh,New York,335.0
F3636961,81,19:45,20:59,1 hours 14 minutes,2022-03-15,Pittsburgh,New York,335.0
F3636962,145,19:42,21:06,1 hours 24 minutes,2022-03-16,Pittsburgh,New York,335.0
F3636963,93,05:28,06:42,1 hours 14 minutes,2022-03-17,Pittsburgh,New York,335.0
F3636964,122,21:09,22:24,1 hours 15 minutes,2022-03-18,Pittsburgh,New York,335.0
F3637049,178,09:53,11:58,2 hours 5 minutes,2022-03-06,Atlanta,South Bend,566.0
F3637050,159,10:26,12:06,1 hours 40 minutes,2022-03-08,Atlanta,South Bend,566.0
F3637061,177,12:58,15:01,2 hours 3 minutes,2022-03-08,South Bend,Atlanta,566.0
F3637092,564,17:56,21:46,2 hours 50 minutes,2022-03-25,Fayetteville,New York,1147.0
F3637093,409,17:32,21:23,2 hours 51 minutes,2022-03-27,Fayetteville,New York,1147.0
F3637094,350,17:29,21:26,2 hours 57 minutes,2022-03-28,Fayetteville,New York,1147.0
F3637095,529,16:21,20:00,2 hours 39 minutes,2022-03-29,Fayetteville,New York,1147.0
F3637286,132,19:52,21:57,2 hours 5 minutes,2022-03-19,Charleston,New York,636.0
F3637287,269,18:20,20:20,2 hours 0 minutes,2022-03-20,Charleston,New York,636.0
F3637288,263,18:21,20:20,1 hours 59 minutes,2022-03-21,Charleston,New York,636.0
F3637311,190,15:19,17:59,2 hours 40 minutes,2022-03-19,New York,Charleston,636.0
F3637312,293,15:16,17:38,2 hours 22 minutes,2022-03-20,New York,Charleston,636.0
F3637313,311,15:21,17:28,2 hours 7 minutes,2022-03-21,New York,Charleston,636.0
F3637523,131,16:59,18:54,1 hours 55 minutes,2022-03-20,Charleston,New York,641.0
F3637524,275,17:03,18:59,1 hours 56 minutes,2022-03-21,Charleston,New York,641.0
F3637627,292,15:04,17:13,3 hours 9 minutes,2022-03-25,New York,Fayetteville,1147.0
F3637628,495,12:59,15:07,3 hours 8 minutes,2022-03-27,New York,Fayetteville,1147.0
F3637629,422,14:54,16:59,3 hours 5 minutes,2022-03-28,New York,Fayetteville,1147.0
F3637630,570,12:45,15:11,3 hours 26 minutes,2022-03-29,New York,Fayetteville,1147.0
F3637907,47,06:39,07:36,0 hours 57 minutes,2022-03-29,Knoxville,Atlanta,152.0
F3637908,68,06:38,07:30,0 hours 52 minutes,2022-03-30,Knoxville,Atlanta,152.0
F3637909,55,06:38,07:34,0 hours 56 minutes,2022-03-31,Knoxville,Atlanta,152.0
F3638178,220,09:35,11:31,1 hours 56 minutes,2022-03-19,Charleston,New York,636.0
F3638179,288,07:04,08:49,1 hours 45 minutes,2022-03-20,Charleston,New York,636.0
F3638180,274,08:37,11:11,2 hours 34 minutes,2022-03-21,Charleston,New York,636.0
F3639039,234,05:57,07:49,1 hours 52 minutes,2022-03-06,South Bend,Atlanta,566.0
F3639040,260,05:57,08:06,2 hours 9 minutes,2022-03-07,South Bend,Atlanta,566.0
F3639041,250,05:55,07:52,1 hours 57 minutes,2022-03-08,South Bend,Atlanta,566.0
F3639162,211,17:17,18:57,1 hours 40 minutes,2022-03-20,Greensboro,New York,461.0
F3639163,166,17:14,18:56,1 hours 42 minutes,2022-03-21,Greensboro,New York,461.0
F3639164,116,17:10,18:30,1 hours 20 minutes,2022-03-22,Greensboro,New York,461.0
F3639165,173,17:10,18:37,1 hours 27 minutes,2022-03-23,Greensboro,New York,461.0
F3639166,167,17:23,18:53,1 hours 30 minutes,2022-03-24,Greensboro,New York,461.0
F3639167,154,17:10,19:09,1 hours 59 minutes,2022-03-25,Greensboro,New York,461.0
F3639257,139,14:54,16:49,1 hours 55 minutes,2022-03-13,New York,Greer,610.0
F3639274,230,13:37,16:39,2 hours 2 minutes,2022-03-26,Milwaukee,New York,738.0
F3641278,121,08:38,10:03,1 hours 25 minutes,2022-03-20,Greensboro,New York,461.0
F3641279,98,08:14,09:38,1 hours 24 minutes,2022-03-26,Greensboro,New York,461.0
F3641342,232,16:49,18:44,1 hours 55 minutes,2022-03-13,New York,Asheville,599.0
F3641343,210,16:51,18:54,2 hours 3 minutes,2022-03-14,New York,Asheville,599.0
F3641344,189,16:49,18:50,2 hours 1 minutes,2022-03-15,New York,Asheville,599.0
F3641345,219,16:50,19:05,2 hours 15 minutes,2022-03-16,New York,Asheville,599.0
F3641730,214,13:49,15:40,1 hours 51 minutes,2022-03-13,Asheville,New York,599.0
F3641731,196,12:07,13:53,1 hours 46 minutes,2022-03-14,Asheville,New York,599.0
F3641732,218,12:07,13:50,1 hours 43 minutes,2022-03-15,Asheville,New York,599.0
F3641733,275,12:07,13:50,1 hours 43 minutes,2022-03-16,Asheville,New York,599.0
F3642017,221,10:04,11:48,1 hours 44 minutes,2022-03-07,Atlanta,South Bend,566.0
F3642036,250,12:40,15:11,2 hours 31 minutes,2022-03-07,South Bend,Atlanta,566.0
F3642065,209,06:02,08:00,1 hours 58 minutes,2022-03-21,Charleston,New York,641.0
F3642295,40,14:46,15:41,0 hours 55 minutes,2022-03-07,Chattanooga,Atlanta,106.0
F3642296,24,16:21,17:18,0 hours 57 minutes,2022-03-08,Chattanooga,Atlanta,106.0
F3642297,33,14:29,15:36,1 hours 7 minutes,2022-03-09,Chattanooga,Atlanta,106.0
F3642791,70,17:51,18:40,0 hours 49 minutes,2022-03-29,Atlanta,Knoxville,152.0
F3642792,33,17:51,18:46,0 hours 55 minutes,2022-03-30,Atlanta,Knoxville,152.0
F3642793,70,19:29,20:29,1 hours 0 minutes,2022-03-31,Atlanta,Knoxville,152.0
F3642866,139,09:35,10:56,1 hours 21 minutes,2022-03-13,New York,Pittsburgh,335.0
F3642867,148,09:17,10:48,1 hours 31 minutes,2022-03-14,New York,Pittsburgh,335.0
F3642868,136,09:19,10:41,1 hours 22 minutes,2022-03-15,New York,Pittsburgh,335.0
F3642869,158,09:14,10:34,1 hours 20 minutes,2022-03-16,New York,Pittsburgh,335.0
F3642871,82,09:17,10:35,1 hours 18 minutes,2022-03-18,New York,Pittsburgh,335.0
F3642888,139,12:02,13:13,1 hours 11 minutes,2022-03-13,Pittsburgh,New York,335.0
F3642889,75,11:38,12:55,1 hours 17 minutes,2022-03-14,Pittsburgh,New York,335.0
F3642890,151,11:40,12:56,1 hours 16 minutes,2022-03-15,Pittsburgh,New York,335.0
F3642891,89,11:38,12:51,1 hours 13 minutes,2022-03-16,Pittsburgh,New York,335.0
F3642893,153,11:41,13:40,1 hours 59 minutes,2022-03-18,Pittsburgh,New York,335.0
F3643145,226,18:36,21:58,2 hours 22 minutes,2022-03-24,Milwaukee,New York,738.0
F3643146,271,17:44,20:47,2 hours 3 minutes,2022-03-25,Milwaukee,New York,738.0
F3643697,96,14:48,16:37,1 hours 49 minutes,2022-03-13,New York,Pittsburgh,340.0
F3643698,130,14:50,16:35,1 hours 45 minutes,2022-03-14,New York,Pittsburgh,340.0
F3643699,72,14:55,16:28,1 hours 33 minutes,2022-03-15,New York,Pittsburgh,340.0
F3643700,143,14:47,16:30,1 hours 43 minutes,2022-03-16,New York,Pittsburgh,340.0
F3643701,140,14:53,16:26,1 hours 33 minutes,2022-03-17,New York,Pittsburgh,340.0
F3643702,108,14:50,16:18,1 hours 28 minutes,2022-03-18,New York,Pittsburgh,340.0
F3643703,160,14:53,16:22,1 hours 29 minutes,2022-03-19,New York,Pittsburgh,340.0
F3643717,122,17:14,18:59,1 hours 45 minutes,2022-03-19,Pittsburgh,New York,340.0
F3644042,26,16:16,17:23,1 hours 7 minutes,2022-03-08,Atlanta,Chattanooga,106.0
F3644043,24,16:18,16:59,0 hours 41 minutes,2022-03-09,Atlanta,Chattanooga,106.0
F3644150,196,19:11,20:48,1 hours 37 minutes,2022-03-20,New York,Greensboro,461.0
F3644151,195,18:30,20:07,1 hours 37 minutes,2022-03-21,New York,Greensboro,461.0
F3644152,179,17:54,19:41,1 hours 47 minutes,2022-03-22,New York,Greensboro,461.0
F3644153,201,17:51,19:38,1 hours 47 minutes,2022-03-23,New York,Greensboro,461.0
F3644154,173,18:07,20:16,2 hours 9 minutes,2022-03-24,New York,Greensboro,461.0
F3644155,132,17:55,19:24,1 hours 29 minutes,2022-03-25,New York,Greensboro,461.0
F3644170,127,14:22,15:47,1 hours 25 minutes,2022-03-13,New York,Pittsburgh,335.0
F3644171,159,14:24,15:46,1 hours 22 minutes,2022-03-14,New York,Pittsburgh,335.0
F3644172,140,14:29,16:06,1 hours 37 minutes,2022-03-15,New York,Pittsburgh,335.0
F3644173,77,14:21,15:50,1 hours 29 minutes,2022-03-16,New York,Pittsburgh,335.0
F3644174,74,14:45,16:22,1 hours 37 minutes,2022-03-17,New York,Pittsburgh,335.0
F3644175,98,15:15,17:08,1 hours 53 minutes,2022-03-18,New York,Pittsburgh,335.0
F3644457,49,17:57,18:52,0 hours 55 minutes,2022-03-08,Chattanooga,Atlanta,106.0
F3644458,21,17:43,18:31,0 hours 48 minutes,2022-03-09,Chattanooga,Atlanta,106.0
F3644897,144,11:35,12:54,1 hours 19 minutes,2022-03-13,Pittsburgh,New York,340.0
F3644898,84,11:20,12:44,1 hours 24 minutes,2022-03-14,Pittsburgh,New York,340.0
F3644899,129,11:23,12:47,1 hours 24 minutes,2022-03-15,Pittsburgh,New York,340.0
F3644900,154,11:25,12:40,1 hours 15 minutes,2022-03-16,Pittsburgh,New York,340.0
F3644901,127,11:27,13:04,1 hours 37 minutes,2022-03-17,Pittsburgh,New York,340.0
F3644902,140,11:25,12:56,1 hours 31 minutes,2022-03-18,Pittsburgh,New York,340.0
F3644903,154,11:39,13:09,1 hours 30 minutes,2022-03-19,Pittsburgh,New York,340.0
F3644945,224,08:50,11:11,2 hours 21 minutes,2022-03-20,New York,Charleston,641.0
F3644946,187,08:49,10:58,2 hours 9 minutes,2022-03-21,New York,Charleston,641.0
F3644988,240,14:30,16:08,2 hours 38 minutes,2022-03-24,New York,Milwaukee,738.0
F3644989,366,14:30,15:37,2 hours 7 minutes,2022-03-25,New York,Milwaukee,738.0
F3644990,218,15:20,16:27,2 hours 7 minutes,2022-03-26,New York,Milwaukee,738.0
F3645549,35,08:13,09:00,0 hours 47 minutes,2022-03-29,Atlanta,Knoxville,152.0
F3645550,47,08:11,08:58,0 hours 47 minutes,2022-03-30,Atlanta,Knoxville,152.0
F3645551,33,08:11,09:03,0 hours 52 minutes,2022-03-31,Atlanta,Knoxville,152.0
F3645580,36,09:52,10:44,0 hours 52 minutes,2022-03-29,Knoxville,Atlanta,152.0
F3645581,49,09:53,10:50,0 hours 57 minutes,2022-03-30,Knoxville,Atlanta,152.0
F3645582,70,09:46,10:51,1 hours 5 minutes,2022-03-31,Knoxville,Atlanta,152.0
F3645995,141,09:13,10:48,1 hours 35 minutes,2022-03-13,New York,Pittsburgh,340.0
F3645996,109,08:59,10:29,1 hours 30 minutes,2022-03-14,New York,Pittsburgh,340.0
F3645997,150,09:03,10:34,1 hours 31 minutes,2022-03-15,New York,Pittsburgh,340.0
F3645998,97,08:55,10:13,1 hours 18 minutes,2022-03-16,New York,Pittsburgh,340.0
F3645999,166,08:55,10:33,1 hours 38 minutes,2022-03-17,New York,Pittsburgh,340.0
F3646000,108,09:00,10:25,1 hours 25 minutes,2022-03-18,New York,Pittsburgh,340.0
F3646001,82,09:35,11:09,1 hours 34 minutes,2022-03-19,New York,Pittsburgh,340.0
F3646850,172,11:02,12:54,1 hours 52 minutes,2022-03-21,Greensboro,New York,461.0
F3646851,158,11:07,12:33,1 hours 26 minutes,2022-03-22,Greensboro,New York,461.0
F3646852,123,10:57,12:19,1 hours 22 minutes,2022-03-23,Greensboro,New York,461.0
F3646853,156,11:14,12:56,1 hours 42 minutes,2022-03-24,Greensboro,New York,461.0
F3646854,210,11:06,12:50,1 hours 44 minutes,2022-03-25,Greensboro,New York,461.0
F3646871,213,08:23,09:55,1 hours 32 minutes,2022-03-21,New York,Greensboro,461.0
F3646872,106,08:19,10:06,1 hours 47 minutes,2022-03-22,New York,Greensboro,461.0
F3646873,175,08:19,10:04,1 hours 45 minutes,2022-03-23,New York,Greensboro,461.0
F3646874,135,08:19,10:31,2 hours 12 minutes,2022-03-24,New York,Greensboro,461.0
F3646875,207,08:33,10:15,1 hours 42 minutes,2022-03-25,New York,Greensboro,461.0
F3646876,157,08:19,09:59,1 hours 40 minutes,2022-03-26,New York,Greensboro,461.0
F3647664,127,14:20,15:33,1 hours 13 minutes,2022-03-13,Pittsburgh,New York,335.0
F3647665,155,14:40,16:00,1 hours 20 minutes,2022-03-14,Pittsburgh,New York,335.0
F3647666,113,14:40,15:56,1 hours 16 minutes,2022-03-15,Pittsburgh,New York,335.0
F3647667,76,14:43,16:05,1 hours 22 minutes,2022-03-16,Pittsburgh,New York,335.0
F3647669,87,15:45,16:59,1 hours 14 minutes,2022-03-18,Pittsburgh,New York,335.0
F3647687,144,16:56,18:14,1 hours 18 minutes,2022-03-13,Pittsburgh,New York,340.0
F3647688,141,16:56,18:22,1 hours 26 minutes,2022-03-14,Pittsburgh,New York,340.0
F3647689,93,16:56,18:17,1 hours 21 minutes,2022-03-15,Pittsburgh,New York,340.0
F3647690,167,16:56,18:19,1 hours 23 minutes,2022-03-16,Pittsburgh,New York,340.0
F3647691,164,17:06,18:37,1 hours 31 minutes,2022-03-17,Pittsburgh,New York,340.0
F3647692,123,17:47,19:33,1 hours 46 minutes,2022-03-18,Pittsburgh,New York,340.0
F3647823,353,05:55,09:17,2 hours 22 minutes,2022-03-24,Milwaukee,New York,738.0
F3647824,216,05:55,09:08,2 hours 13 minutes,2022-03-25,Milwaukee,New York,738.0
F3647825,241,07:55,11:13,2 hours 18 minutes,2022-03-26,Milwaukee,New York,738.0
F3648407,28,12:43,13:29,0 hours 46 minutes,2022-03-07,Atlanta,Chattanooga,106.0
F3648408,49,12:45,13:24,0 hours 39 minutes,2022-03-08,Atlanta,Chattanooga,106.0
F3648409,30,13:10,13:54,0 hours 44 minutes,2022-03-09,Atlanta,Chattanooga,106.0
F3648513,187,06:00,07:28,1 hours 28 minutes,2022-03-21,Greensboro,New York,461.0
F3648514,138,06:03,07:32,1 hours 29 minutes,2022-03-22,Greensboro,New York,461.0
F3648515,221,06:00,07:23,1 hours 23 minutes,2022-03-23,Greensboro,New York,461.0
F3648516,214,06:00,07:16,1 hours 16 minutes,2022-03-24,Greensboro,New York,461.0
F3648517,212,06:01,07:30,1 hours 29 minutes,2022-03-25,Greensboro,New York,461.0
F3648822,154,15:27,17:10,1 hours 43 minutes,2022-03-20,New York,Greensboro,461.0
F3648823,107,15:27,17:05,1 hours 38 minutes,2022-03-21,New York,Greensboro,461.0
F3648824,196,15:51,17:48,1 hours 57 minutes,2022-03-22,New York,Greensboro,461.0
F3648825,141,15:24,17:23,1 hours 59 minutes,2022-03-23,New York,Greensboro,461.0
F3648826,200,15:52,18:15,2 hours 23 minutes,2022-03-24,New York,Greensboro,461.0
F3648827,190,15:18,17:01,1 hours 43 minutes,2022-03-25,New York,Greensboro,461.0
F3648828,203,15:21,17:02,1 hours 41 minutes,2022-03-26,New York,Greensboro,461.0
F3648839,154,16:43,17:59,1 hours 16 minutes,2022-03-13,Pittsburgh,New York,335.0
F3648840,132,16:21,17:38,1 hours 17 minutes,2022-03-14,Pittsburgh,New York,335.0
F3648841,153,16:14,17:38,1 hours 24 minutes,2022-03-15,Pittsburgh,New York,335.0
F3648842,99,16:22,17:47,1 hours 25 minutes,2022-03-16,Pittsburgh,New York,335.0
F3648844,116,16:34,18:13,1 hours 39 minutes,2022-03-18,Pittsburgh,New York,335.0
F3648988,170,12:30,14:21,1 hours 51 minutes,2022-03-06,South Bend,Atlanta,566.0
F3649194,292,20:52,23:49,2 hours 57 minutes,2022-03-13,Asheville,New York,599.0
F3649195,196,19:49,21:31,1 hours 42 minutes,2022-03-14,Asheville,New York,599.0
F3649196,196,20:58,22:35,1 hours 37 minutes,2022-03-15,Asheville,New York,599.0
F3649197,139,19:57,21:47,1 hours 50 minutes,2022-03-16,Asheville,New York,599.0
F3649281,242,07:56,09:27,1 hours 31 minutes,2022-03-12,Greer,New York,610.0
F3649622,227,08:31,10:13,2 hours 42 minutes,2022-03-24,New York,Milwaukee,738.0
F3649623,285,08:51,10:00,2 hours 9 minutes,2022-03-25,New York,Milwaukee,738.0
F3649624,245,08:21,09:36,2 hours 15 minutes,2022-03-26,New York,Milwaukee,738.0
F3649645,180,10:50,14:22,2 hours 32 minutes,2022-03-24,Milwaukee,New York,738.0
F3649646,163,10:40,13:40,2 hours 0 minutes,2022-03-25,Milwaukee,New York,738.0
F3650028,284,18:15,20:27,2 hours 12 minutes,2022-03-19,New York,Charleston,636.0
F3650029,281,18:20,20:26,2 hours 6 minutes,2022-03-20,New York,Charleston,636.0
F3650030,235,18:15,20:37,2 hours 22 minutes,2022-03-21,New York,Charleston,636.0
F3651356,74,21:02,21:49,0 hours 47 minutes,2022-03-29,Atlanta,Knoxville,152.0
F3651357,39,21:00,21:57,0 hours 57 minutes,2022-03-30,Atlanta,Knoxville,152.0
F3651358,35,21:02,21:47,0 hours 45 minutes,2022-03-31,Atlanta,Knoxville,152.0
F3651575,69,08:46,09:35,0 hours 49 minutes,2022-03-29,Knoxville,Atlanta,152.0
F3651576,51,08:45,09:33,0 hours 48 minutes,2022-03-30,Knoxville,Atlanta,152.0
F3651577,56,12:24,13:19,0 hours 55 minutes,2022-03-31,Knoxville,Atlanta,152.0
F3652709,228,11:56,13:42,1 hours 46 minutes,2022-03-20,Charleston,New York,641.0
F3652710,228,12:00,14:07,2 hours 7 minutes,2022-03-21,Charleston,New York,641.0
F3652806,37,08:26,09:21,0 hours 55 minutes,2022-03-07,Atlanta,Chattanooga,106.0
F3652807,32,08:20,09:01,0 hours 41 minutes,2022-03-08,Atlanta,Chattanooga,106.0
F3652808,36,08:22,09:11,0 hours 49 minutes,2022-03-09,Atlanta,Chattanooga,106.0
F3652828,28,09:54,10:44,0 hours 50 minutes,2022-03-07,Chattanooga,Atlanta,106.0
F3652829,33,09:55,10:45,0 hours 50 minutes,2022-03-08,Chattanooga,Atlanta,106.0
F3652830,39,09:58,10:54,0 hours 56 minutes,2022-03-09,Chattanooga,Atlanta,106.0
F3652862,304,09:29,11:34,2 hours 5 minutes,2022-03-19,Charleston,New York,641.0
F3652999,166,07:51,09:22,1 hours 31 minutes,2022-03-10,Greer,New York,610.0
F3653000,174,06:02,07:58,1 hours 56 minutes,2022-03-11,Greer,New York,610.0
F3653001,234,06:07,07:55,1 hours 48 minutes,2022-03-14,Greer,New York,610.0
F3653073,291,09:00,11:26,2 hours 26 minutes,2022-03-12,New York,Greer,610.0
F3653649,157,13:56,16:06,2 hours 10 minutes,2022-03-20,New York,Charleston,641.0
F3653650,186,13:54,15:49,1 hours 55 minutes,2022-03-21,New York,Charleston,641.0
F3653676,280,17:39,19:38,1 hours 59 minutes,2022-03-20,New York,Charleston,641.0
F3653677,186,18:13,20:11,1 hours 58 minutes,2022-03-21,New York,Charleston,641.0
F3653831,118,11:58,13:34,1 hours 36 minutes,2022-03-13,New York,Pittsburgh,335.0
F3653832,85,12:24,13:39,1 hours 15 minutes,2022-03-14,New York,Pittsburgh,335.0
F3653833,149,12:26,13:54,1 hours 28 minutes,2022-03-15,New York,Pittsburgh,335.0
F3653834,72,13:14,14:59,1 hours 45 minutes,2022-03-16,New York,Pittsburgh,335.0
F3653835,85,15:36,17:15,1 hours 39 minutes,2022-03-17,New York,Pittsburgh,335.0
F3653836,77,12:22,13:35,1 hours 13 minutes,2022-03-18,New York,Pittsburgh,335.0
F3654421,219,10:43,12:35,1 hours 52 minutes,2022-03-13,New York,Asheville,599.0
F3654422,193,09:02,11:10,2 hours 8 minutes,2022-03-14,New York,Asheville,599.0
F3654423,201,09:09,11:06,1 hours 57 minutes,2022-03-15,New York,Asheville,599.0
F3654424,237,08:57,10:45,1 hours 48 minutes,2022-03-16,New York,Asheville,599.0
F3655363,163,13:25,14:53,1 hours 28 minutes,2022-03-20,Greensboro,New York,461.0
F3655371,105,10:40,12:21,1 hours 41 minutes,2022-03-20,New York,Greensboro,461.0
F3655441,113,07:00,08:22,1 hours 22 minutes,2022-03-14,New York,Pittsburgh,335.0
F3655442,86,06:57,08:29,1 hours 32 minutes,2022-03-15,New York,Pittsburgh,335.0
F3655443,115,07:01,08:17,1 hours 16 minutes,2022-03-16,New York,Pittsburgh,335.0
